"Date","expGermany","expFrance","expItaly","expNetherlands","expUnitedKingdom","expRestoftheworld"
"2",2004-01-01,88,78.4,119.6,86.7,86.8,96
"3",2004-02-01,77.4,67.6,116.4,85.7,85.2,95
"4",2004-03-01,81.5,90.5,114.9,96.3,88.6,103
"5",2004-04-01,75,65.6,107.6,86.5,81.8,99
"6",2004-05-01,75.5,66.6,119.5,75.6,81.5,102
"7",2004-06-01,76.2,63.4,112.7,77.6,88.6,99
"8",2004-07-01,79.3,53.7,100.9,59.9,94.5,89
"9",2004-08-01,75.1,49.1,95.1,69.3,89.1,90
"10",2004-09-01,79.4,59.2,107.3,86.8,91.2,98
"11",2004-10-01,82.5,69.6,113,96.6,90.8,109
"12",2004-11-01,90.6,81.3,134.8,92.8,89.7,109
"13",2004-12-01,84.7,63.3,121.1,95.3,95.6,103
"15",2005-01-01,84.2,89.3,128.7,76.3,85.9,104
"16",2005-02-01,80.5,76.3,119.5,94.4,90.7,110
"17",2005-03-01,75.5,75.9,139.9,82.6,87.9,112
"18",2005-04-01,73.3,64.8,114,74.9,85.3,107
"19",2005-05-01,80.2,68.4,122.1,77.3,83.9,95
"20",2005-06-01,74.6,66.9,114.9,80.3,83.3,95
"21",2005-07-01,73.7,55.6,98.7,55.5,90.6,100
"22",2005-08-01,77.6,54.7,95.2,64.5,83.2,94
"23",2005-09-01,83.4,82.3,109.3,89.3,91.1,112
"24",2005-10-01,85.3,74.9,110.3,95.3,92,116
"25",2005-11-01,97,98.7,154.3,105.1,95,114
"26",2005-12-01,76.9,65.8,81.8,94.3,74.3,99
"28",2006-01-01,75.1,94.2,119.3,78.2,75.9,101
"29",2006-02-01,78.7,79,106.7,93,95.2,110
"30",2006-03-01,81.4,82.9,110.8,94,85.2,110
"31",2006-04-01,78.7,71.2,96.7,81.9,81.6,109
"32",2006-05-01,75.6,77.1,111.6,79.7,83.4,104
"33",2006-06-01,79.8,59.8,105.9,78.2,92.1,100
"34",2006-07-01,86.6,53.3,96.2,63,91.3,98
"35",2006-08-01,79.9,61.3,96.2,79.9,90.5,93
"36",2006-09-01,91.2,70.7,103.7,90.7,95.6,108
"37",2006-10-01,94.3,88.6,109.5,96.9,88,113
"38",2006-11-01,99.7,108.2,99.3,104.1,87.1,118
"39",2006-12-01,87,90.1,89.6,102.8,78.4,111
"41",2007-01-01,85,95.3,108.4,94.7,77.2,103
"42",2007-02-01,88.4,85.5,117,87.3,84.6,108
"43",2007-03-01,86.7,86.2,103.6,93.9,86.9,111
"44",2007-04-01,86.6,78.4,109.3,90.8,80.8,110
"45",2007-05-01,81.9,82,100.5,78.9,79.5,106
"46",2007-06-01,91.4,71.7,111,87.7,91.4,106
"47",2007-07-01,85.8,60.7,106.9,75.5,95.7,104
"48",2007-08-01,88,64.2,104.8,86.5,90.2,101
"49",2007-09-01,97.1,77.7,108.8,95.8,96.4,112
"50",2007-10-01,99,85.4,99.6,107.7,92.8,114
"51",2007-11-01,106.4,102.5,123.9,123.5,91.9,120
"52",2007-12-01,87.8,80.4,88.6,122.8,84.2,109
"54",2008-01-01,91.2,97.2,107.5,100.5,77.2,107
"55",2008-02-01,88.3,83.7,104.9,120.5,84.9,112
"56",2008-03-01,86.3,82.6,90.3,103.8,83.5,106
"57",2008-04-01,86.3,83.7,105.7,107.5,85.5,103
"58",2008-05-01,86.9,85.7,119.5,96.5,79.4,101
"59",2008-06-01,90.7,86.4,106,78.4,85.5,108
"60",2008-07-01,92.5,74.2,102.2,74.3,87.8,110
"61",2008-08-01,86.9,79,104.6,91,86.7,105
"62",2008-09-01,98.7,93.9,115,105.5,89.8,113
"63",2008-10-01,92.6,94.7,103.6,111.1,89.2,121
"64",2008-11-01,105.2,104.5,81.9,120.1,91.9,131
"65",2008-12-01,81.5,80.7,85.5,105.7,82.6,108
"67",2009-01-01,86,87.2,101.9,103.4,70.9,107
"68",2009-02-01,88.7,92,94.7,101.1,88.3,118
"69",2009-03-01,81.6,92.6,100,89.7,72.4,108
"70",2009-04-01,86.7,82,96.4,82.4,74.3,102
"71",2009-05-01,87.8,86.5,121.2,88,79.8,113
"72",2009-06-01,102.6,87.8,98.2,85.5,88.2,117
"73",2009-07-01,89.3,64.6,95.4,76.8,91.1,101
"74",2009-08-01,82.9,78.8,101.8,94.7,83.7,102
"75",2009-09-01,95.1,80.3,103.1,100.4,90.3,120
"76",2009-10-01,86.7,75.5,94.2,86.2,85.8,112
"77",2009-11-01,103.2,86.3,108.4,103.7,93.1,140
"78",2009-12-01,86.4,83.1,105.1,98.1,85.7,115
"80",2010-01-01,82.3,91.1,90,78.6,73.3,113
"81",2010-02-01,88,94.8,95.6,102.7,83,113
"82",2010-03-01,91.2,77.9,100.5,95.1,83.8,125
"83",2010-04-01,84.9,86.9,94.7,76.3,72.6,106
"84",2010-05-01,93.8,73.9,101.1,102,78.7,125
"85",2010-06-01,102.9,81.9,107.9,102.5,97.7,116
"86",2010-07-01,94.3,62.4,88.4,75.5,94.3,104
"87",2010-08-01,90,74.2,105.1,94.6,92.5,113
"88",2010-09-01,97.6,82.3,99.3,90.3,98.6,125
"89",2010-10-01,92.4,76.2,87.8,96.8,86.6,116
"90",2010-11-01,102.6,90.2,115,106.7,98.2,126
"91",2010-12-01,81.5,69.1,79.6,87,79.3,101
"93",2011-01-01,81.6,76.3,88.3,77.6,69.2,107
"94",2011-02-01,94,79.1,75.7,97.7,85.1,114
"95",2011-03-01,86,82.2,88.4,83.7,81.5,115
"96",2011-04-01,80.4,86.8,82.5,99.6,86.5,111
"97",2011-05-01,99.1,87,115.8,101.2,83.5,139
"98",2011-06-01,102.8,96.7,107.6,90.8,87.1,134
"99",2011-07-01,100.7,79.8,106.4,76.6,87.9,115
"100",2011-08-01,93.9,79.3,115.9,90.8,84.1,117
"101",2011-09-01,95.3,85.1,99.2,89.8,88.5,130
"102",2011-10-01,94.7,84.5,96,99.1,88.3,135
"103",2011-11-01,103.1,78.5,108.7,108.9,84.9,137
"104",2011-12-01,84,81.7,89.1,93.2,81.3,120
"106",2012-01-01,87.5,77.6,107.3,93.1,79,115
"107",2012-02-01,95.9,84.1,112,87,86.4,128
"108",2012-03-01,92.6,89.5,94.9,96.2,90.1,125
"109",2012-04-01,97.2,82.8,103.8,94.9,90.3,130
"110",2012-05-01,97.8,87.4,101.4,94.1,89.4,146
"111",2012-06-01,99.4,86.6,111,88.4,94.4,135
"112",2012-07-01,96.9,71.4,105.1,73.9,96.8,122
"113",2012-08-01,95.2,67.2,107.4,84.5,93.5,125
"114",2012-09-01,103.8,70.9,103.7,99.7,104.3,136
"115",2012-10-01,104.2,76.8,93.4,98,91.3,142
"116",2012-11-01,107.8,84.2,100.6,104.6,99.6,142
"117",2012-12-01,89.7,97.6,78.5,86.8,82.8,114
"119",2013-01-01,99.4,92,90,96.7,87,126
"120",2013-02-01,101.3,107.9,102.1,101.7,94.3,129
"121",2013-03-01,95.2,106.2,102.4,96.9,89.8,131
"122",2013-04-01,104.2,91.4,103.2,98.6,92.4,134
"123",2013-05-01,99.8,86.7,96,97.8,90.7,143
"124",2013-06-01,101.6,80,110.9,88.8,94.6,133
"125",2013-07-01,96.1,76,99.3,75.3,99,125
"126",2013-08-01,98,73.6,107.5,87.9,95.4,126
"127",2013-09-01,101.6,82.5,111.4,94,101.9,141
"128",2013-10-01,114.6,87.8,99.2,101.1,101.1,147
"129",2013-11-01,111.1,89.6,106.5,114.2,107.4,140
"130",2013-12-01,99.7,83.7,87.1,99.5,84.4,123
"132",2014-01-01,100.4,80.7,90.6,88.6,83.1,125
"133",2014-02-01,99.1,90.8,92.1,93.2,90.8,135
"134",2014-03-01,117,105.6,114.8,115.3,95.2,143
"135",2014-04-01,98.8,89.4,107.1,107.9,91.6,129
"136",2014-05-01,97.7,81.2,116,92.8,90,145
"137",2014-06-01,99.5,85,108.7,87.7,99.8,133
